year,LandAndOceanAverageTemperature
1850,14.867166666666668
1851,14.991833333333332
1852,15.006500000000003
1853,14.955166666666669
1854,14.990999999999998
1855,15.021083333333332
1856,14.879333333333333
1857,14.758249999999999
1858,14.8815
1859,14.929916666666669
1860,14.882916666666665
1861,14.800666666666666
1862,14.740083333333333
1863,14.93575
1864,14.896499999999998
1865,14.996666666666668
1866,15.057000000000002
1867,15.058666666666667
1868,15.096916666666667
1869,15.065499999999998
1870,15.004333333333335
1871,15.00591666666667
1872,15.019333333333336
1873,15.04925
1874,14.957
1875,14.921916666666668
1876,14.90941666666667
1877,15.28266666666667
1878,15.357416666666666
1879,15.064416666666668
1880,15.008666666666665
1881,15.087166666666668
1882,15.05658333333333
1883,14.96325
1884,14.833250000000001
1885,14.854416666666667
1886,14.835250000000002
1887,14.816
1888,14.994083333333336
1889,15.113416666666668
1890,14.84075
1891,14.94383333333333
1892,14.8825
1893,14.912250000000002
1894,14.91475
1895,14.969000000000001
1896,15.090583333333335
1897,15.075333333333335
1898,14.886916666666664
1899,15.048333333333334
1900,15.143916666666668
1901,15.073333333333332
1902,14.958333333333334
1903,14.836583333333335
1904,14.810416666666669
1905,14.954666666666666
1906,15.03191666666667
1907,14.874833333333335
1908,14.838166666666671
1909,14.790333333333335
1910,14.819083333333333
1911,14.776000000000002
1912,14.877166666666666
1913,14.908749999999998
1914,15.076250000000002
1915,15.143749999999999
1916,14.901333333333334
1917,14.809750000000003
1918,14.959833333333336
1919,15.006749999999998
1920,15.026249999999997
1921,15.102083333333335
1922,15.012333333333336
1923,15.027833333333332
1924,15.039333333333333
1925,15.090333333333334
1926,15.241083333333336
1927,15.122250000000001
1928,15.13225
1929,14.967416666666665
1930,15.172499999999998
1931,15.228250000000003
1932,15.188000000000002
1933,15.012916666666667
1934,15.1445
1935,15.118833333333335
1936,15.166166666666667
1937,15.3005
1938,15.293083333333334
1939,15.302333333333332
1940,15.372083333333334
1941,15.384666666666666
1942,15.325333333333338
1943,15.344999999999999
1944,15.449083333333334
1945,15.33075
1946,15.262750000000002
1947,15.31016666666667
1948,15.261166666666668
1949,15.22275
1950,15.1395
1951,15.311166666666665
1952,15.363083333333334
1953,15.421083333333334
1954,15.230583333333335
1955,15.174333333333335
1956,15.106
1957,15.374083333333331
1958,15.382083333333334
1959,15.340499999999999
1960,15.291916666666665
1961,15.379916666666668
1962,15.325583333333334
1963,15.376666666666667
1964,15.117083333333332
1965,15.195750000000002
1966,15.264666666666665
1967,15.294166666666667
1968,15.263916666666665
1969,15.390499999999998
1970,15.332666666666666
1971,15.200000000000001
1972,15.292916666666668
1973,15.404750000000002
1974,15.168083333333334
1975,15.238666666666667
1976,15.131083333333335
1977,15.40825
1978,15.300916666666666
1979,15.414166666666667
1980,15.491833333333332
1981,15.516166666666669
1982,15.341916666666668
1983,15.520249999999999
1984,15.344166666666666
1985,15.34066666666667
1986,15.384000000000002
1987,15.524500000000003
1988,15.555750000000002
1989,15.441583333333334
1990,15.629333333333335
1991,15.597999999999999
1992,15.453000000000003
1993,15.466416666666667
1994,15.534999999999998
1995,15.637833333333333
1996,15.524666666666668
1997,15.713833333333334
1998,15.826000000000002
1999,15.600333333333333
2000,15.610666666666667
2001,15.767499999999998
2002,15.829166666666667
2003,15.826583333333337
2004,15.75725
2005,15.879249999999999
2006,15.8135
2007,15.827333333333334
2008,15.721250000000003
2009,15.827166666666669
2010,15.895499999999998
2011,15.7695
2012,15.802333333333337
2013,15.854416666666667
2014,15.912999999999997
2015,16.058583333333335
